1980,\N,\N
1981,\N,\N
1982,\N,\N
1983,\N,\N
1984,\N,\N
1985,5.8,5.9
1986,\N,\N
1987,\N,\N
1988,2.2,6.4
1989,\N,\N
1990,\N,\N
1991,\N,\N
1992,8.2,8.5
1993,\N,\N
1994,6.3,6.9
1995,\N,\N
1996,8.4,8.9875
1997,8.472222222222223,8.529411764705882
1998,8.506451612903223,8.182142857142857
1999,8.480645161290326,7.5769230769230775
2000,7.531775700934573,6.9349650349650345
2001,7.594941634241242,7.141411042944786
2002,7.585129310344833,6.904625199362042
2003,7.859883720930236,7.018119658119659
2004,7.7505112474437645,6.9393939393939394
2005,7.50960548885078,6.881984732824428
2006,7.247282608695655,6.733870967741936
2007,6.895707472178067,6.6180635838150295
2008,6.950983358547661,6.59048951048951
2009,6.990716612377852,6.755453149001537
2010,6.87537473233405,6.7482
2011,6.623552894211574,6.869199999999999
2012,6.812426035502969,7.2953125
2013,6.470723684210529,7.127838827838827
2014,6.580243161094225,7.106513409961686
2015,6.665993265993259,7.287111111111111
2016,6.62977099236641,7.315517241379311
2017,\N,\N
2020,\N,\N
